,benchmark,model,ROC,precision @ rank,time
334,wine_benchmark_0084.csv,PCA,0.5474,0.4271,0.017
335,wine_benchmark_0084.csv,LODA,0.5681,0.4352,0.104
336,wine_benchmark_0085.csv,KNN,0.561,0.4064,0.346
337,wine_benchmark_0085.csv,LOF,0.5628,0.4097,0.391
338,wine_benchmark_0085.csv,PCA,0.5543,0.4132,0.021
339,wine_benchmark_0085.csv,LODA,0.5498,0.4003,0.089
340,wine_benchmark_0086.csv,KNN,0.5621,0.4019,0.474
341,wine_benchmark_0086.csv,LOF,0.5383,0.3908,0.601
342,wine_benchmark_0086.csv,PCA,0.5466,0.4108,0.019
343,wine_benchmark_0086.csv,LODA,0.5702,0.4264,0.074
344,wine_benchmark_0087.csv,KNN,0.5727,0.4367,0.538
345,wine_benchmark_0087.csv,LOF,0.5589,0.4214,0.705
346,wine_benchmark_0087.csv,PCA,0.5611,0.441,0.02
347,wine_benchmark_0087.csv,LODA,0.6279,0.4949,0.08
348,wine_benchmark_0088.csv,KNN,0.5586,0.4132,0.4822
349,wine_benchmark_0088.csv,LOF,0.5365,0.4019,0.7041
350,wine_benchmark_0088.csv,PCA,0.5519,0.4251,0.024
351,wine_benchmark_0088.csv,LODA,0.5702,0.4214,0.093
352,wine_benchmark_0089.csv,KNN,0.5519,0.4181,0.49
353,wine_benchmark_0089.csv,LOF,0.5375,0.4086,0.6601
354,wine_benchmark_0089.csv,PCA,0.5495,0.4211,0.014
355,wine_benchmark_0089.csv,LODA,0.5191,0.3991,0.081
356,wine_benchmark_0090.csv,KNN,0.5578,0.4066,0.625
357,wine_benchmark_0090.csv,LOF,0.532,0.3917,0.6321
358,wine_benchmark_0090.csv,PCA,0.5485,0.4133,0.029
359,wine_benchmark_0090.csv,LODA,0.558,0.414,0.117
360,wine_benchmark_0091.csv,KNN,0.5646,0.4149,0.8816
361,wine_benchmark_0091.csv,LOF,0.5387,0.3979,0.8756
362,wine_benchmark_0091.csv,PCA,0.5503,0.4186,0.042
363,wine_benchmark_0091.csv,LODA,0.5786,0.4445,0.079
364,wine_benchmark_0092.csv,KNN,0.5603,0.4148,0.7411
365,wine_benchmark_0092.csv,LOF,0.5425,0.414,0.8601
366,wine_benchmark_0092.csv,PCA,0.5533,0.4125,0.032
367,wine_benchmark_0092.csv,LODA,0.5564,0.4192,0.095
368,wine_benchmark_0093.csv,KNN,0.5533,0.3888,0.8461
369,wine_benchmark_0093.csv,LOF,0.5254,0.3697,1.027
370,wine_benchmark_0093.csv,PCA,0.5446,0.398,0.042
371,wine_benchmark_0093.csv,LODA,0.5669,0.4072,0.082
